scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,M_effective_mean,M_effective_min,runtime_sec_mean,seed_count,actual_fro_mean,skipped_count
aggregate,,ols_n10,type1_error,20,,,,0.05,0.0,0.0,20.0,20.0,1.9473302364349365,1,,
aggregate,,ols_n10,power,20,0.2,0.2,,0.05,0.0,,20.0,,0.6235175132751465,1,0.20000000000000004,0
aggregate,,ols_n10,power,20,0.5,0.5,,0.75,0.0,,20.0,,0.6026897430419922,1,0.5,0
aggregate,,ols_n10,power,20,1.0,1.0,,1.0,0.0,,20.0,,0.5869197845458984,1,1.0,0
aggregate,,ols_n20,type1_error,20,,,,0.0,0.0,-0.05,20.0,20.0,63.58806777000427,1,,
aggregate,,ols_n20,power,20,0.2,0.2,,0.0,0.0,,20.0,,65.65286183357239,1,0.2000000000000001,0
aggregate,,ols_n20,power,20,0.5,0.5,,0.35,0.0,,20.0,,65.76827597618103,1,0.5,0
aggregate,,ols_n20,power,20,1.0,1.0,,0.95,0.0,,20.0,,66.85949611663818,1,0.8100000000000002,0
aggregate,,ols_n30,type1_error,20,,,,0.15,0.0,0.09999999999999999,20.0,20.0,110.78347539901733,1,,
aggregate,,ols_n30,power,20,0.2,0.2,,0.05,0.0,,20.0,,107.6481146812439,1,0.19999999999999984,0
aggregate,,ols_n30,power,20,0.5,0.5,,0.25,0.0,,20.0,,102.61894106864929,1,0.49999999999999994,0
aggregate,,ols_n30,power,20,1.0,1.0,,0.95,0.0,,20.0,,188.73389840126038,1,0.9999999999999999,0
aggregate,,lasso_n20,type1_error,20,,,,0.15,0.0,0.09999999999999999,20.0,20.0,48.20032525062561,1,,
aggregate,,lasso_n20,power,20,0.2,0.2,,0.15,0.0,,20.0,,31.630187034606934,1,0.20000000000000007,0
aggregate,,lasso_n20,power,20,0.5,0.5,,0.5,0.0,,20.0,,42.77889060974121,1,0.5,0
aggregate,,lasso_n20,power,20,1.0,1.0,,1.0,0.0,,20.0,,44.97381854057312,1,1.0,0
aggregate,,lasso_n30,type1_error,20,,,,0.1,0.0,0.05,20.0,20.0,65.99791502952576,1,,
aggregate,,lasso_n30,power,20,0.2,0.2,,0.0,0.0,,20.0,,67.22642135620117,1,0.2,0
aggregate,,lasso_n30,power,20,0.5,0.5,,0.2,0.0,,20.0,,65.6847472190857,1,0.5,0
aggregate,,lasso_n30,power,20,1.0,1.0,,1.0,0.0,,20.0,,58.227153062820435,1,0.9000000000000002,0
aggregate,,svd_n20,type1_error,20,,,,0.15,0.0,0.09999999999999999,20.0,20.0,120.4413812160492,1,,
aggregate,,svd_n20,power,20,0.2,0.2,,0.2,0.0,,20.0,,111.130854845047,1,0.2,0
aggregate,,svd_n20,power,20,0.5,0.5,,0.45,0.0,,20.0,,111.25059795379639,1,0.5,0
aggregate,,svd_n20,power,20,1.0,1.0,,1.0,0.0,,20.0,,105.32702589035034,1,1.0,0
aggregate,,svd_n30,type1_error,20,,,,0.4,0.0,0.35000000000000003,20.0,20.0,180.3651123046875,1,,
aggregate,,svd_n30,power,20,0.2,0.2,,0.2,0.0,,20.0,,187.07732844352722,1,0.2,0
aggregate,,svd_n30,power,20,0.5,0.5,,0.55,0.0,,20.0,,188.36168670654297,1,0.5,0
aggregate,,svd_n30,power,20,1.0,1.0,,1.0,0.0,,20.0,,174.77638626098633,1,1.0,0
