model,metric,delta,value,size_distortion,rejections,effective_iterations,runtime_sec
baseline_ols,type1_error,,0.046667,-0.003333,14,300,127.166
baseline_ols,power,0.04,0.046667,,14,300,143.439
baseline_ols,power,0.08,0.050000,,15,300,144.465
baseline_ols,power,0.12,0.083333,,25,300,143.704
baseline_ols,power,0.16,0.140000,,42,300,144.308
sparse_lasso,type1_error,,0.056667,0.006667,17,300,616.791
sparse_lasso,power,0.04,0.100000,,30,300,486.142
sparse_lasso,power,0.08,0.203333,,61,300,483.412
sparse_lasso,power,0.12,0.540000,,162,300,470.338
sparse_lasso,power,0.16,0.926667,,278,300,471.416
lowrank_svd,type1_error,,0.080000,0.030000,24,300,139.695
lowrank_svd,power,0.04,0.150000,,45,300,141.219
lowrank_svd,power,0.08,0.846667,,254,300,142.327
lowrank_svd,power,0.12,0.976667,,293,300,142.659
lowrank_svd,power,0.16,0.993333,,298,300,144.509
