scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,actual_fro_mean
aggregate,,baseline_ols,type1_error,4,,,,0.375,0.125,0.325,1.5,4.0,0.5151187181472778,2,
aggregate,,baseline_ols,type1_error,6,,,,0.25,0.25,0.2,1.5,6.0,0.7342251539230347,2,
aggregate,,baseline_ols,power,6,0.04,0.04,,0.16666666666666666,0.0,,1.0,6.0,0.6651084423065186,2,0.040000000000000015
aggregate,,baseline_ols,power,6,0.08,0.08,,0.08333333333333333,0.08333333333333333,,0.5,6.0,0.6833522319793701,2,0.07999999999999999
aggregate,,sparse_lasso,type1_error,4,,,,0.125,0.125,0.07500000000000001,0.5,4.0,1.4943684339523315,2,
aggregate,,sparse_lasso,type1_error,6,,,,0.25,0.08333333333333333,0.19999999999999998,1.5,6.0,2.108358383178711,2,
aggregate,,sparse_lasso,power,6,0.04,0.04,,0.25,0.08333333333333333,,1.5,6.0,1.7561107873916626,2,0.04000000000000001
aggregate,,sparse_lasso,power,6,0.08,0.08,,0.25,0.08333333333333333,,1.5,6.0,1.856858730316162,2,0.08000000000000002
aggregate,,lowrank_svd,type1_error,4,,,,0.125,0.125,0.07500000000000001,0.5,4.0,1.1561414003372192,2,
aggregate,,lowrank_svd,type1_error,6,,,,0.25,0.08333333333333333,0.19999999999999998,1.5,6.0,1.9866150617599487,2,
aggregate,,lowrank_svd,power,6,0.04,0.04,,0.25,0.08333333333333333,,1.5,6.0,1.4946708679199219,2,0.04000000000000001
aggregate,,lowrank_svd,power,6,0.08,0.08,,0.25,0.08333333333333333,,1.5,6.0,0.22656631469726562,2,0.08
