model,metric,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
baseline_ols,type1_error,,,,0.500000,0.450000,2,4,0.056
baseline_ols,power,0.04,0.080000,0.080000,0.250000,,1,4,0.028
baseline_ols,power,0.08,0.160000,0.160000,0.250000,,1,4,0.027
sparse_lasso,type1_error,,,,0.000000,-0.050000,0,4,0.395
sparse_lasso,power,0.04,0.200000,0.200000,0.500000,,2,4,0.341
sparse_lasso,power,0.08,0.400000,0.400000,1.000000,,4,4,0.258
lowrank_svd,type1_error,,,,0.250000,0.200000,1,4,0.264
lowrank_svd,power,0.04,0.400000,0.400000,0.000000,,0,4,0.294
lowrank_svd,power,0.08,0.800000,0.800000,1.000000,,4,4,0.246
