scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols,type1_error,100,,,,0.05,0.0,0.0,5.0,100.0,31.4669930934906,1,,
aggregate,,baseline_ols,type1_error,300,,,,0.056666666666666664,0.0,0.006666666666666661,17.0,300.0,91.18310403823853,1,,
aggregate,,baseline_ols,type1_error,500,,,,0.064,0.0,0.013999999999999999,32.0,500.0,143.99741673469543,1,,
aggregate,,baseline_ols,type1_error,1000,,,,0.057,0.0,0.006999999999999999,57.0,1000.0,285.2055594921112,1,,
aggregate,,baseline_ols,type1_error,2000,,,,0.053,0.0,0.0029999999999999957,106.0,2000.0,558.3005774021149,1,,
aggregate,,baseline_ols,power,300,0.1,0.1,,0.08,0.0,,24.0,300.0,87.32938122749329,1,0.1,0.1
aggregate,,baseline_ols,power,300,0.2,0.2,,0.10666666666666667,0.0,,32.0,300.0,88.33547806739807,1,0.2,0.2
aggregate,,baseline_ols,power,300,0.4,0.4,,0.5366666666666666,0.0,,161.0,300.0,86.68894338607788,1,0.4,0.4
aggregate,,baseline_ols,power,300,0.8,0.8,,0.9966666666666667,0.0,,299.0,300.0,86.53087329864502,1,0.8,0.8
aggregate,,baseline_ols,power,300,1.2,1.2,,1.0,0.0,,300.0,300.0,87.20289254188538,1,1.2,0.8748000000000001
aggregate,,baseline_ols_f,type1_error,100,,,,0.04,0.0,-0.010000000000000002,4.0,100.0,0.1091923713684082,1,,
aggregate,,baseline_ols_f,type1_error,300,,,,0.04,0.0,-0.010000000000000002,12.0,300.0,0.3283050060272217,1,,
aggregate,,baseline_ols_f,type1_error,500,,,,0.07,0.0,0.020000000000000004,35.0,500.0,0.4838862419128418,1,,
aggregate,,baseline_ols_f,type1_error,1000,,,,0.05,0.0,0.0,50.0,1000.0,0.943687915802002,1,,
aggregate,,baseline_ols_f,type1_error,2000,,,,0.0525,0.0,0.0024999999999999953,105.0,2000.0,1.9148001670837402,1,,
aggregate,,baseline_ols_f,power,300,0.1,0.1,,0.06,0.0,,18.0,300.0,0.29949498176574707,1,0.1,0.1
aggregate,,baseline_ols_f,power,300,0.2,0.2,,0.17333333333333334,0.0,,52.0,300.0,0.30271029472351074,1,0.2,0.2
aggregate,,baseline_ols_f,power,300,0.4,0.4,,0.5566666666666666,0.0,,167.0,300.0,0.30161190032958984,1,0.4,0.4
aggregate,,baseline_ols_f,power,300,0.8,0.8,,1.0,0.0,,300.0,300.0,0.2940640449523926,1,0.8,0.8
aggregate,,baseline_ols_f,power,300,1.2,1.2,,1.0,0.0,,300.0,300.0,0.3042929172515869,1,1.2,0.8748000000000001
aggregate,,sparse_lasso,type1_error,100,,,,0.05,0.0,0.0,5.0,100.0,159.06754302978516,1,,
aggregate,,sparse_lasso,type1_error,300,,,,0.04666666666666667,0.0,-0.003333333333333334,14.0,300.0,481.30654764175415,1,,
aggregate,,sparse_lasso,type1_error,500,,,,0.068,0.0,0.018000000000000002,34.0,500.0,763.7693862915039,1,,
aggregate,,sparse_lasso,type1_error,1000,,,,0.055,0.0,0.0049999999999999975,55.0,1000.0,1519.6461071968079,1,,
aggregate,,sparse_lasso,type1_error,2000,,,,0.048,0.0,-0.0020000000000000018,96.0,2000.0,3034.445513486862,1,,
aggregate,,sparse_lasso,power,300,0.1,0.1,,0.06,0.0,,18.0,300.0,480.30666422843933,1,0.1,0.1
aggregate,,sparse_lasso,power,300,0.2,0.2,,0.1,0.0,,30.0,300.0,484.6144452095032,1,0.2,0.2
aggregate,,sparse_lasso,power,300,0.4,0.4,,0.17666666666666667,0.0,,53.0,300.0,483.3956489562988,1,0.4,0.4
aggregate,,sparse_lasso,power,300,0.8,0.8,,0.9166666666666666,0.0,,275.0,300.0,482.0101857185364,1,0.8,0.7200000000000002
aggregate,,sparse_lasso,power,300,1.2,1.2,,0.9366666666666666,0.0,,281.0,300.0,479.7846944332123,1,1.2,0.708588
aggregate,,lowrank_svd,type1_error,100,,,,0.08,0.0,0.03,8.0,100.0,41.56234526634216,1,,
aggregate,,lowrank_svd,type1_error,300,,,,0.08666666666666667,0.0,0.03666666666666667,26.0,300.0,121.1597912311554,1,,
aggregate,,lowrank_svd,type1_error,500,,,,0.052,0.0,0.001999999999999995,26.0,500.0,194.47382497787476,1,,
aggregate,,lowrank_svd,type1_error,1000,,,,0.074,0.0,0.023999999999999994,74.0,1000.0,386.20542907714844,1,,
aggregate,,lowrank_svd,type1_error,2000,,,,0.0735,0.0,0.023499999999999993,147.0,2000.0,770.555942773819,1,,
aggregate,,lowrank_svd,power,300,0.1,0.1,,0.10333333333333333,0.0,,31.0,300.0,119.74975061416626,1,0.1,0.1
aggregate,,lowrank_svd,power,300,0.2,0.2,,0.09333333333333334,0.0,,28.0,300.0,119.22895336151123,1,0.2,0.2
aggregate,,lowrank_svd,power,300,0.4,0.4,,0.15,0.0,,45.0,300.0,119.02176403999329,1,0.4,0.4
aggregate,,lowrank_svd,power,300,0.8,0.8,,0.8933333333333333,0.0,,268.0,300.0,120.03065085411072,1,0.8,0.8
aggregate,,lowrank_svd,power,300,1.2,1.2,,0.97,0.0,,291.0,300.0,120.74572324752808,1,1.2,0.8748000000000002
