scope,seed,model,metric,M,delta,target_fro,target_fro_mean,actual_fro_mean,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count
aggregate,,baseline_ols,power,300,0.05,0.05,0.05,0.050000000000000024,0.06666666666666667,0.0,,20.0,300.0,178.93604016304016,1
aggregate,,baseline_ols,power,300,0.1,0.1,0.1,0.1,0.06666666666666667,0.0,,20.0,300.0,169.92940092086792,1
aggregate,,baseline_ols,power,300,0.15,0.15,0.15,0.15,0.18666666666666668,0.0,,56.0,300.0,171.1873745918274,1
aggregate,,baseline_ols,power,300,0.2,0.2,0.2,0.2,0.31333333333333335,0.0,,94.0,300.0,168.46654868125916,1
aggregate,,baseline_ols,power,300,0.3,0.3,0.3,0.30000000000000004,0.7,0.0,,210.0,300.0,170.8659200668335,1
aggregate,,baseline_ols,power,300,0.5,0.5,0.5,0.5,1.0,0.0,,300.0,300.0,169.125629901886,1
aggregate,,baseline_ols,power,300,0.8,0.8,0.8,0.8,1.0,0.0,,300.0,300.0,170.15310788154602,1
aggregate,,baseline_ols,power,300,1.0,1.0,1.0,0.9,1.0,0.0,,300.0,300.0,168.63645815849304,1
aggregate,,baseline_ols_f,power,300,0.05,0.05,0.05,0.050000000000000024,0.056666666666666664,0.0,,17.0,300.0,0.9927723407745361,1
aggregate,,baseline_ols_f,power,300,0.1,0.1,0.1,0.1,0.10333333333333333,0.0,,31.0,300.0,0.4934842586517334,1
aggregate,,baseline_ols_f,power,300,0.15,0.15,0.15,0.15,0.22666666666666666,0.0,,68.0,300.0,0.4674711227416992,1
aggregate,,baseline_ols_f,power,300,0.2,0.2,0.2,0.2,0.3333333333333333,0.0,,100.0,300.0,0.4863135814666748,1
aggregate,,baseline_ols_f,power,300,0.3,0.3,0.3,0.30000000000000004,0.8033333333333333,0.0,,241.0,300.0,0.4699993133544922,1
aggregate,,baseline_ols_f,power,300,0.5,0.5,0.5,0.5,1.0,0.0,,300.0,300.0,0.4749457836151123,1
aggregate,,baseline_ols_f,power,300,0.8,0.8,0.8,0.8,1.0,0.0,,300.0,300.0,0.48171401023864746,1
aggregate,,baseline_ols_f,power,300,1.0,1.0,1.0,0.9,1.0,0.0,,300.0,300.0,0.4733738899230957,1
aggregate,,sparse_lasso,power,300,0.05,0.05,0.05,0.05000000000000001,0.05,0.0,,15.0,300.0,577.6451416015625,1
aggregate,,sparse_lasso,power,300,0.1,0.1,0.1,0.1,0.08333333333333333,0.0,,25.0,300.0,577.27485871315,1
aggregate,,sparse_lasso,power,300,0.15,0.15,0.15,0.15000000000000005,0.07,0.0,,21.0,300.0,571.4603147506714,1
aggregate,,sparse_lasso,power,300,0.2,0.2,0.2,0.2,0.14,0.0,,42.0,300.0,570.3542904853821,1
aggregate,,sparse_lasso,power,300,0.3,0.3,0.3,0.30000000000000004,0.36666666666666664,0.0,,110.0,300.0,571.506749868393,1
aggregate,,sparse_lasso,power,300,0.5,0.5,0.5,0.5000000000000001,0.9433333333333334,0.0,,283.0,300.0,577.8003780841827,1
aggregate,,sparse_lasso,power,300,0.8,0.8,0.8,0.7200000000000002,1.0,0.0,,300.0,300.0,582.1948606967926,1
aggregate,,sparse_lasso,power,300,1.0,1.0,1.0,0.7290000000000002,1.0,0.0,,300.0,300.0,583.3020133972168,1
aggregate,,lowrank_svd,power,300,0.05,0.05,0.05,0.05000000000000002,0.07333333333333333,0.0,,22.0,300.0,217.8677237033844,1
aggregate,,lowrank_svd,power,300,0.1,0.1,0.1,0.1,0.07,0.0,,21.0,300.0,216.16198205947876,1
aggregate,,lowrank_svd,power,300,0.15,0.15,0.15,0.15,0.07666666666666666,0.0,,23.0,300.0,217.23368215560913,1
aggregate,,lowrank_svd,power,300,0.2,0.2,0.2,0.2,0.08,0.0,,24.0,300.0,216.02851963043213,1
aggregate,,lowrank_svd,power,300,0.3,0.3,0.3,0.3,0.15,0.0,,45.0,300.0,213.6705391407013,1
aggregate,,lowrank_svd,power,300,0.5,0.5,0.5,0.5,0.69,0.0,,207.0,300.0,217.36206150054932,1
aggregate,,lowrank_svd,power,300,0.8,0.8,0.8,0.8,1.0,0.0,,300.0,300.0,221.8388216495514,1
aggregate,,lowrank_svd,power,300,1.0,1.0,1.0,0.9,1.0,0.0,,300.0,300.0,218.02327847480774,1
