seed,B,chi2_p_value,f_asymptotic_p_value,bootstrap_lr_p_value,bootstrap_f_p_value,abs_diff_boot_lr_vs_chi2,B_effective
7,100,0.8412707766519214,0.8693114295319373,0.85,0.85,0.008729223348078574,100
7,300,0.8412707766519214,0.8693114295319373,0.8833333333333333,0.8733333333333333,0.0420625566814119,300
7,500,0.8412707766519214,0.8693114295319373,0.886,0.876,0.044729223348078606,500
42,100,0.7541535836769294,0.7482384323142482,0.77,0.68,0.0158464163230706,100
42,300,0.7541535836769294,0.7482384323142482,0.7933333333333333,0.7333333333333333,0.03917974965640392,300
42,500,0.7541535836769294,0.7482384323142482,0.82,0.762,0.06584641632307053,500
2026,100,0.509665290784815,0.5859982020921851,0.68,0.66,0.170334709215185,100
2026,300,0.509665290784815,0.5859982020921851,0.5866666666666667,0.5766666666666667,0.07700137588185163,300
2026,500,0.509665290784815,0.5859982020921851,0.576,0.58,0.06633470921518492,500
