scenario,model,change_scale,M,n_seed,power_mean,power_ci95_low,power_ci95_high,power_sd,power_n,delta_fro_mean,delta_max_abs_mean,M_effective_avg
baseline,baseline_chow_asym_chi2,0.04,1,1,0.0,0.0,0.0,0.0,1,0.13856406460551018,0.04000000000000001,1.0
baseline,baseline_chow_asym_chi2,0.08,1,1,1.0,1.0,1.0,0.0,1,0.2771281292110204,0.08000000000000002,1.0
baseline,baseline_chow_asym_chi2,0.12,1,1,1.0,1.0,1.0,0.0,1,0.3570479573217798,0.11738948771869903,1.0
baseline,baseline_chow_asym_chi2,0.16,1,1,1.0,1.0,1.0,0.0,1,0.3732841023060425,0.14208551171767442,1.0
baseline,baseline_chow_asym_chi2,0.2,1,1,1.0,1.0,1.0,0.0,1,0.3828626444858002,0.15654889115684445,1.0
baseline,baseline_chow_asym_f,0.04,1,1,0.0,0.0,0.0,0.0,1,0.13856406460551018,0.04000000000000001,1.0
baseline,baseline_chow_asym_f,0.08,1,1,0.0,0.0,0.0,0.0,1,0.2771281292110204,0.08000000000000002,1.0
baseline,baseline_chow_asym_f,0.12,1,1,1.0,1.0,1.0,0.0,1,0.3570479573217798,0.11738948771869903,1.0
baseline,baseline_chow_asym_f,0.16,1,1,1.0,1.0,1.0,0.0,1,0.3732841023060425,0.14208551171767442,1.0
baseline,baseline_chow_asym_f,0.2,1,1,1.0,1.0,1.0,0.0,1,0.3828626444858002,0.15654889115684445,1.0
baseline,baseline_chow_bootstrap_f,0.04,1,1,1.0,1.0,1.0,0.0,1,0.13856406460551018,0.04000000000000001,1.0
baseline,baseline_chow_bootstrap_f,0.08,1,1,1.0,1.0,1.0,0.0,1,0.2771281292110204,0.08000000000000002,1.0
baseline,baseline_chow_bootstrap_f,0.12,1,1,1.0,1.0,1.0,0.0,1,0.3570479573217798,0.11738948771869903,1.0
baseline,baseline_chow_bootstrap_f,0.16,1,1,1.0,1.0,1.0,0.0,1,0.3732841023060425,0.14208551171767442,1.0
baseline,baseline_chow_bootstrap_f,0.2,1,1,1.0,1.0,1.0,0.0,1,0.3828626444858002,0.15654889115684445,1.0
baseline,baseline_chow_bootstrap_lr,0.04,1,1,1.0,1.0,1.0,0.0,1,0.13856406460551018,0.04000000000000001,1.0
baseline,baseline_chow_bootstrap_lr,0.08,1,1,1.0,1.0,1.0,0.0,1,0.2771281292110204,0.08000000000000002,1.0
baseline,baseline_chow_bootstrap_lr,0.12,1,1,1.0,1.0,1.0,0.0,1,0.3570479573217798,0.11738948771869903,1.0
baseline,baseline_chow_bootstrap_lr,0.16,1,1,1.0,1.0,1.0,0.0,1,0.3732841023060425,0.14208551171767442,1.0
baseline,baseline_chow_bootstrap_lr,0.2,1,1,1.0,1.0,1.0,0.0,1,0.3828626444858002,0.15654889115684445,1.0
lowrank,lowrank_svd,0.04,1,1,0.0,0.0,0.0,0.0,1,0.27712812921102037,0.04000000000000001,1.0
lowrank,lowrank_svd,0.08,1,1,0.0,0.0,0.0,0.0,1,0.5542562584220407,0.08000000000000002,1.0
lowrank,lowrank_svd,0.12,1,1,0.0,0.0,0.0,0.0,1,0.5466576363418205,0.10387964059768226,1.0
lowrank,lowrank_svd,0.16,1,1,0.0,0.0,0.0,0.0,1,0.536892998504498,0.11467697203575658,1.0
lowrank,lowrank_svd,0.2,1,1,0.0,0.0,0.0,0.0,1,0.5472118120786589,0.12227889099608012,1.0
sparse,sparse_lasso,0.04,1,1,0.0,0.0,0.0,0.0,1,0.20784609690826522,0.04000000000000001,1.0
sparse,sparse_lasso,0.08,1,1,1.0,1.0,1.0,0.0,1,0.41569219381653044,0.08,1.0
sparse,sparse_lasso,0.12,1,1,1.0,1.0,1.0,0.0,1,0.43510414114391127,0.09578151730205005,1.0
sparse,sparse_lasso,0.16,1,1,1.0,1.0,1.0,0.0,1,0.4655417906094029,0.10702288099764765,1.0
sparse,sparse_lasso,0.2,1,1,1.0,1.0,1.0,0.0,1,0.4694568578333814,0.11164066159108171,1.0
