seed,scenario,model,M,size,M_effective
7,baseline,baseline_chow_asym_f,5,0.0,5
7,baseline,baseline_chow_asym_chi2,5,0.0,5
7,baseline,baseline_chow_bootstrap_f,5,0.8,5
7,baseline,baseline_chow_bootstrap_lr,5,0.8,5
7,baseline,baseline_chow_asym_f,10,0.0,10
7,baseline,baseline_chow_asym_chi2,10,0.0,10
7,baseline,baseline_chow_bootstrap_f,10,1.0,10
7,baseline,baseline_chow_bootstrap_lr,10,1.0,10
7,sparse,sparse_lasso,5,0.8,5
7,sparse,sparse_lasso,10,1.0,10
7,lowrank,lowrank_svd,5,0.0,5
7,lowrank,lowrank_svd,10,0.0,10
42,baseline,baseline_chow_asym_f,5,0.0,5
42,baseline,baseline_chow_asym_chi2,5,0.0,5
42,baseline,baseline_chow_bootstrap_f,5,0.0,5
42,baseline,baseline_chow_bootstrap_lr,5,0.0,5
42,baseline,baseline_chow_asym_f,10,0.0,10
42,baseline,baseline_chow_asym_chi2,10,0.0,10
42,baseline,baseline_chow_bootstrap_f,10,0.0,10
42,baseline,baseline_chow_bootstrap_lr,10,0.0,10
42,sparse,sparse_lasso,5,0.0,5
42,sparse,sparse_lasso,10,0.0,10
42,lowrank,lowrank_svd,5,0.8,5
42,lowrank,lowrank_svd,10,1.0,10
2026,baseline,baseline_chow_asym_f,5,0.0,5
2026,baseline,baseline_chow_asym_chi2,5,0.0,5
2026,baseline,baseline_chow_bootstrap_f,5,0.0,5
2026,baseline,baseline_chow_bootstrap_lr,5,0.0,5
2026,baseline,baseline_chow_asym_f,10,0.0,10
2026,baseline,baseline_chow_asym_chi2,10,0.0,10
2026,baseline,baseline_chow_bootstrap_f,10,0.0,10
2026,baseline,baseline_chow_bootstrap_lr,10,0.0,10
2026,sparse,sparse_lasso,5,0.2,5
2026,sparse,sparse_lasso,10,0.0,10
2026,lowrank,lowrank_svd,5,0.8,5
2026,lowrank,lowrank_svd,10,1.0,10
