scenario,model,M,n_seed,size_mean,size_ci95_low,size_ci95_high,size_sd,size_n,M_effective_avg
baseline,baseline_chow_asym_chi2,10,3,0.0,0.0,0.0,0.0,3,10.0
baseline,baseline_chow_asym_chi2,20,3,0.0,0.0,0.0,0.0,3,20.0
baseline,baseline_chow_asym_chi2,50,3,0.0,0.0,0.0,0.0,3,50.0
baseline,baseline_chow_asym_f,10,3,0.0,0.0,0.0,0.0,3,10.0
baseline,baseline_chow_asym_f,20,3,0.0,0.0,0.0,0.0,3,20.0
baseline,baseline_chow_asym_f,50,3,0.0,0.0,0.0,0.0,3,50.0
baseline,baseline_chow_bootstrap_f,10,3,0.3,0.0,0.855,0.5196152422706632,3,10.0
baseline,baseline_chow_bootstrap_f,20,3,0.3333333333333333,0.0,0.95,0.5773502691896258,3,20.0
baseline,baseline_chow_bootstrap_f,50,3,0.3333333333333333,0.0,0.95,0.5773502691896258,3,50.0
baseline,baseline_chow_bootstrap_lr,10,3,0.3,0.0,0.855,0.5196152422706632,3,10.0
baseline,baseline_chow_bootstrap_lr,20,3,0.3333333333333333,0.0,0.95,0.5773502691896258,3,20.0
baseline,baseline_chow_bootstrap_lr,50,3,0.3333333333333333,0.0,0.95,0.5773502691896258,3,50.0
lowrank,lowrank_svd,10,3,0.6,0.045000000000000005,0.9,0.5196152422706632,3,10.0
lowrank,lowrank_svd,20,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,20.0
lowrank,lowrank_svd,50,3,0.6666666666666666,0.05,1.0,0.5773502691896258,3,50.0
sparse,sparse_lasso,10,3,0.3333333333333333,0.005000000000000001,0.86,0.4932882862316247,3,10.0
sparse,sparse_lasso,20,3,0.3333333333333333,0.0,0.95,0.5773502691896258,3,20.0
sparse,sparse_lasso,50,3,0.3333333333333333,0.0,0.95,0.5773502691896258,3,50.0
