scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec,perturbation_type
seed,42,lowrank_rrr_fv,type1_error,50,,,,0.02,-0.030000000000000002,1,50,3.036440849304199,
seed,42,lowrank_rrr_fv,type1_error,100,,,,0.04,-0.010000000000000002,4,100,4.211114883422852,
seed,42,lowrank_rrr_fv,type1_error,300,,,,0.02666666666666667,-0.023333333333333334,8,300,9.505677700042725,
seed,42,lowrank_rrr_fv,type1_error,500,,,,0.02,-0.030000000000000002,10,500,15.7495698928833,
seed,42,lowrank_rrr_fv,type1_error,1000,,,,0.029,-0.021,29,1000,25.715866804122925,
seed,42,lowrank_rrr_fv,power,300,0.1,0.1,0.1,0.04,,12,300,9.91296100616455,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,300,0.3,0.3,0.3,0.10666666666666667,,32,300,10.133636713027954,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,300,0.5,0.5,0.5,0.24,,72,300,9.72120213508606,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,300,0.75,0.75,0.7500000000000001,0.76,,228,300,9.63880205154419,lowrank_fixedV
seed,42,lowrank_rrr_fv,power,300,1.0,1.0,0.9999999999999999,1.0,,300,300,9.59836196899414,lowrank_fixedV
seed,2026,lowrank_rrr_fv,type1_error,50,,,,0.06,0.009999999999999995,3,50,3.107164144515991,
seed,2026,lowrank_rrr_fv,type1_error,100,,,,0.02,-0.030000000000000002,2,100,4.09473991394043,
seed,2026,lowrank_rrr_fv,type1_error,300,,,,0.023333333333333334,-0.02666666666666667,7,300,10.15800428390503,
seed,2026,lowrank_rrr_fv,type1_error,500,,,,0.032,-0.018000000000000002,16,500,14.685297012329102,
seed,2026,lowrank_rrr_fv,type1_error,1000,,,,0.024,-0.026000000000000002,24,1000,26.032279014587402,
seed,2026,lowrank_rrr_fv,power,300,0.1,0.1,0.09999999999999998,0.03333333333333333,,10,300,9.472944974899292,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,300,0.3,0.3,0.29999999999999993,0.06666666666666667,,20,300,9.877029180526733,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,300,0.5,0.5,0.4999999999999999,0.31666666666666665,,95,300,9.630105018615723,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,300,0.75,0.75,0.7499999999999997,0.75,,225,300,9.611572027206421,lowrank_fixedV
seed,2026,lowrank_rrr_fv,power,300,1.0,1.0,0.9999999999999998,0.99,,297,300,9.625816106796265,lowrank_fixedV
